student_name,email,course_id
Brittany Barron,cindyskinner@yahoo.com,EURO-UA
John Smith,cory52@oneal.com,CLASS-UA
Emily Allen,jill85@russell-cummings.info,HI-UY
Amy Lee,figueroaandrew@roberts.org,BSPA-UB
Miss Anna Lane,kathrynarnold@yahoo.com,ECON-UB
Jeffery Gutierrez,parksdebbie@gmail.com,EURO-UA
Dr. Thomas Haas,mcdowellchelsea@moore.org,SCA-UA
James Anderson,grayjane@downs.org,ECON-UA
Erica Tanner,quinnrichard@hotmail.com,MU-UY
Morgan Bryan,webbmichelle@hotmail.com,HIST-UA
Mark Carlson,deborahhancock@yahoo.com,OPMG-UB
Angela Carter,sherismith@hotmail.com,CORE-UA
Dana Tucker,taylornatasha@yahoo.com,FREN-UA
Wendy Miller,valerie86@gmail.com,CM-UY
Michael Rivera,jesse96@owens-pacheco.com,CORE-UA
Kristie Miller,danielmiller@maldonado-benjamin.com,EXPOS-UA
Thomas Richards,warnerdonald@huff.com,AH-UY
Haley Tran,qhoward@gmail.com,STAT-UB
Laura Cruz,clarkjanet@hotmail.com,BIOL-UA
Natalie Berger,kellerpatricia@yahoo.com,PHYS-UA
Sonya Buck,tylerlarsen@hotmail.com,EURO-UA
Elizabeth Bailey,amypeterson@gmail.com,ME-UY
William Smith,thomaslinda@hotmail.com,BPEP-UB
Vanessa Jones,teresaandrews@horne-hoffman.info,AH-UY
Lisa Mccarthy,heather37@gmail.com,SPAN-UA
Dr. Russell Gonzalez,juliehenderson@rowe-davenport.com,RELST-UA
Stephanie Lane,meyersrobert@jordan.info,RUSSN-UA
Charles Mahoney,jsoto@turner-paul.com,LWSOC-UA
Brooke Nolan,ashleyrodriguez@hotmail.com,LATC-UA
Laura Barrett,whitney82@ibarra-wise.com,ENVST-UA
Kevin White,lucas81@holloway.com,HIST-UA
Hannah Goodman,nestrada@cruz-daniel.org,ROB-UY
Christopher Bennett,fweaver@yahoo.com,PS-UY
Michael York,kswanson@hotmail.com,MKTG-UB
Timothy Adams,jocelyn90@gmail.com,ENVST-UA
Beth Miranda,mmurphy@yahoo.com,NODEP-UA
Dillon Hall DVM,ebrown@yahoo.com,MGMT-UB
Roberto Blackwell,rneal@norman.com,SCA-UA
Jimmy Wilson,misty31@hatfield.com,MEDI-UA
Johnny Townsend,allenryan@yahoo.com,CM-UY
Joshua Tucker,watsonjoshua@price.com,PS-UY
Robert Zuniga,brandon12@landry-green.org,PH-UY
Elijah Clark,bullockkevin@hotmail.com,ENVST-UA
Randall Silva,charlesreed@kim.com,EURO-UA
Troy Wade,joshua50@hess.com,AE-UY
Jason Greene,wrowe@yahoo.com,LS-UY
Dillon Vasquez,qmcmillan@cooper-freeman.com,MULT-UB
Ashley Hall,jamescarter@reynolds.com,EN-UY
Tammy Sutton,melissa56@hotmail.com,PSYCH-UA
Mark Wheeler,josephwhite@weber-smith.biz,GERM-UA
Sharon Winters,amoore@johnson-stark.com,ENGL-UA
Donald Baker,xmitchell@king-peck.com,MA-UY
Wendy Barry,brandyhutchinson@hotmail.com,MGMT-UB
Kyle Davis,cjimenez@hill.net,EG-UY
Paul Freeman,rduran@gmail.com,BIOL-UA
Rachael West,kevinwilson@weaver-rasmussen.com,CP-UY
Laura Scott,joshuaramirez@foley.net,AE-UY
Jeremy Young,osbornejerry@yahoo.com,PHIL-UA
Kathleen Stein,rebecca68@yahoo.com,STAT-UB
Ashley Gonzalez,kathrynbanks@sullivan.biz,NODEP-UA
Valerie Stone,benjaminpeterson@hotmail.com,FREN-UA
